title,abstract_localized.text,abstract_localized.language,abstract_localized.truncated
Method and system for securely deploying an artificial intelligence model,"Methods and systems for securely deploying an artificial intelligence (AI) model. The system can identify one or more deficiencies of the AI model, and protect the AI model from being attacked by external data based upon the identifying. The system can be used for fraud detection based on tabular data, voice authentication, facial recognition, object detection, or a combination thereof.",en,FALSE
,"Methods and systems for securely deploying an artificial intelligence (AI) model. The system can identify one or more deficiencies of the AI model, and protect the AI model from being attacked by external data based upon the identifying. The system can be used for fraud detection based on tabular data, voice authentication, facial recognition, object detection, or a combination thereof.",en,FALSE
Electronic device for converting artificial intelligence model and operating method thereof,"A method performed by an electronic device is provided. The method includes obtaining an artificial intelligence model based on a first framework, determining a second framework on which an artificial intelligence model converted from the artificial intelligence model based on the first framework is to be based, obtaining a conversion graph comprising a plurality of nodes representing a plurality of frameworks, respectively, and a plurality of edges each representing that one framework is convertible into another framework, determining a path that leads from a node representing the first framework to a node representing the second framework based on the conversion graph, and converting the artificial intelligence model based on the first framework into an artificial intelligence model based on the second framework, according to the determined path.",en,FALSE
,"A method performed by an electronic device is provided. The method includes obtaining an artificial intelligence model based on a first framework, determining a second framework on which an artificial intelligence model converted from the artificial intelligence model based on the first framework is to be based, obtaining a conversion graph comprising a plurality of nodes representing a plurality of frameworks, respectively, and a plurality of edges each representing that one framework is convertible into another framework, determining a path that leads from a node representing the first framework to a node representing the second framework based on the conversion graph, and converting the artificial intelligence model based on the first framework into an artificial intelligence model based on the second framework, according to the determined path.",en,FALSE
Content genome generation and management system in a multi-modal artificial intelligence system for media assets,"Various embodiments described herein support or provide for content genome generation and management operations of a media asset, such as accessing content data of a media asset and a set of input cues associated with the media asset; identifying a set of elements based on the content data of the media asset and the set of input cues; assigning a set of weight values to the set of elements based on a priority rule; identifying one or more relevant elements from the set of elements based on a ranking of the set of weight values; analyzing the one or more relevant elements to generate a set of classified features based on a set of tags; and using a machine learning algorithm to generate a content genome of the media asset based on the set of classified features.",en,FALSE
,"Various embodiments described herein support or provide for content genome generation and management operations of a media asset, such as accessing content data of a media asset and a set of input cues associated with the media asset; identifying a set of elements based on the content data of the media asset and the set of input cues; assigning a set of weight values to the set of elements based on a priority rule; identifying one or more relevant elements from the set of elements based on a ranking of the set of weight values; analyzing the one or more relevant elements to generate a set of classified features based on a set of tags; and using a machine learning algorithm to generate a content genome of the media asset based on the set of classified features.",en,FALSE
Explanations for artificial intelligence based recommendations,"Techniques regarding explanations for artificial intelligence recommendations are provided. For example, one or more embodiments described herein can comprise a system, which can comprise a memory that can store computer executable components. The system can also comprise a processor, operably coupled to the memory, and that can execute the computer executable components stored in the memory. The computer executable components can include: a combination component that receives a first training dataset comprising first feature vectors, first classes and first explanations, and combines the first classes and the first explanations to produce first augmented labels and a second training dataset that comprises the first feature vectors and the first augmented labels; a classifier, trained on the second training dataset, that analyses second feature vectors and generates second augmented labels; and a decomposing component that decomposes the second augmented labels, using the classifier, to generate second classes and second explanations.",en,FALSE
,"Techniques regarding explanations for artificial intelligence recommendations are provided. For example, one or more embodiments described herein can comprise a system, which can comprise a memory that can store computer executable components. The system can also comprise a processor, operably coupled to the memory, and that can execute the computer executable components stored in the memory. The computer executable components can include: a combination component that receives a first training dataset comprising first feature vectors, first classes and first explanations, and combines the first classes and the first explanations to produce first augmented labels and a second training dataset that comprises the first feature vectors and the first augmented labels; a classifier, trained on the second training dataset, that analyses second feature vectors and generates second augmented labels; and a decomposing component that decomposes the second augmented labels, using the classifier, to generate second classes and second explanations.",en,FALSE
Utilizing artificial intelligence to test cloud applications,"A device receives application information associated with a cloud application provided in a cloud computing environment, and utilizes a first AI model to generate test cases and test data based on the application information. The device utilizes a second AI model to generate optimized test cases and optimized test data based on the test cases and the test data, and utilizes a third AI model to generate test classes based on the optimized test cases and the optimized test data. The device executes the test classes to generate results, and utilizes a fourth AI model to generate an analysis of the results, recommendations for the cloud application based on the analysis of the results, or a code coverage report associated with the cloud application. The device automatically causes an action to be performed based on the analysis of the results, the recommendations, or the code coverage report.",en,FALSE
,"A device receives application information associated with a cloud application provided in a cloud computing environment, and utilizes a first AI model to generate test cases and test data based on the application information. The device utilizes a second AI model to generate optimized test cases and optimized test data based on the test cases and the test data, and utilizes a third AI model to generate test classes based on the optimized test cases and the optimized test data. The device executes the test classes to generate results, and utilizes a fourth AI model to generate an analysis of the results, recommendations for the cloud application based on the analysis of the results, or a code coverage report associated with the cloud application. The device automatically causes an action to be performed based on the analysis of the results, the recommendations, or the code coverage report.",en,FALSE
Tailored artificial intelligence,A system and method determine a classification by simulating a human user. The system and method translate an input segment such as speech into an output segment such as text and represents the frequency of words and phrases in the textual segment as an input vector. The system and method process the input vector and generate a plurality of intents and a plurality of sub-entities. The processing of multiple intents and sub-entities generates a second multiple of intents and sub-entities that represent a species classification. The system and method select an instance of an evolutionary model as a result of the recognition of one or more predefined semantically relevant words and phrases detected in the input vector.,en,FALSE
,A system and method determine a classification by simulating a human user. The system and method translate an input segment such as speech into an output segment such as text and represents the frequency of words and phrases in the textual segment as an input vector. The system and method process the input vector and generate a plurality of intents and a plurality of sub-entities. The processing of multiple intents and sub-entities generates a second multiple of intents and sub-entities that represent a species classification. The system and method select an instance of an evolutionary model as a result of the recognition of one or more predefined semantically relevant words and phrases detected in the input vector.,en,FALSE
Monitoring an artificial intelligence (AI) based process,An Artificial Intelligence (AI)-based automated process is monitored via a process monitoring system that identifies components used in the execution of the sub-processes of the automated process. Various metrics are selected for collection prior to or during the execution of the AI-based automated process. The values of the metrics are collected as step outputs corresponding to the sub-processes. A final output generated upon the execution of the automated process is also collected. The step outputs can be used to determine the reason why the automated process produced a certain final output.,en,FALSE
,An Artificial Intelligence (AI)-based automated process is monitored via a process monitoring system that identifies components used in the execution of the sub-processes of the automated process. Various metrics are selected for collection prior to or during the execution of the AI-based automated process. The values of the metrics are collected as step outputs corresponding to the sub-processes. A final output generated upon the execution of the automated process is also collected. The step outputs can be used to determine the reason why the automated process produced a certain final output.,en,FALSE
Directed trajectories through communication decision tree using iterative artificial intelligence,Embodiments relate to configuring artificial-intelligence (AI) decision nodes throughout a communication decision tree. The decision nodes can support successive iteration of AI models to dynamically define iteration data that corresponds to a trajectory through the tree,en,FALSE
,Embodiments relate to configuring artificial-intelligence (AI) decision nodes throughout a communication decision tree. The decision nodes can support successive iteration of AI models to dynamically define iteration data that corresponds to a trajectory through the tree,en,FALSE
Computer system and the working method of this computer system of artificial intelligence of a cyborg or an android,"A computer system as a computer system of AI of a cyborg or an android based on a natural language. The computer system includes the hardware devices  27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37 , the sensors groups  1, 2, 3, 4, 5, 6 , the interfaces  7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25 , the senses input receiver  13 , the senses output transmitter  14 , the database  23 , the cyborg-interpreter  26 . The natural language which the computer system uses with its working method is interpreted by the computer system in a object-oriented way. The objects are no objects of a computer language. The computer system uses the references for another language.",en,FALSE
Exercising artificial intelligence by refining model output,"The improved exercise of artificial intelligence. Raw output data is obtained by applying an input data set to an artificial intelligence (AI). Such raw output data is sometimes difficult to interpret. The principles defined herein provide a systematic way to refine the output for a wide variety of AI models. An AI model collection characterization structure is utilized for purpose of refining AI model output so as to be more useful. The characterization structure represents, for each of multiple and perhaps numerous AI models, a refinement of output data that resulted from application of an AI model to input data. Upon obtaining output data from the AI model, the appropriate refinement may then be applied. The refined data may then be semantically indexed to provide a semantic index. The characterization structure may also provide tailored information to allow for intuitive querying against the semantic index.",en,FALSE
,"The improved exercise of artificial intelligence. Raw output data is obtained by applying an input data set to an artificial intelligence (AI). Such raw output data is sometimes difficult to interpret. The principles defined herein provide a systematic way to refine the output for a wide variety of AI models. An AI model collection characterization structure is utilized for purpose of refining AI model output so as to be more useful. The characterization structure represents, for each of multiple and perhaps numerous AI models, a refinement of output data that resulted from application of an AI model to input data. Upon obtaining output data from the AI model, the appropriate refinement may then be applied. The refined data may then be semantically indexed to provide a semantic index. The characterization structure may also provide tailored information to allow for intuitive querying against the semantic index.",en,FALSE
Mobile artificial intelligence robot and method of controlling the same,"Disclosed is a mobile robot including a body forming an outer appearance, a driving part configured to move the body, an image acquisition unit configured to capture an image of a traveling area and to generate image information, a tray configured to support an article to be carried, and a controller configured to determine a size of the article to be carried and to form an inclined surface by controlling a slide module disposed above the tray to move at least one slide of the slide module to protrude depending on the size of the article to be carried. Accordingly, a porter robot loads a load in an accommodation space without lifting the load by a user.",en,FALSE
,"Disclosed is a mobile robot including a body forming an outer appearance, a driving part configured to move the body, an image acquisition unit configured to capture an image of a traveling area and to generate image information, a tray configured to support an article to be carried, and a controller configured to determine a size of the article to be carried and to form an inclined surface by controlling a slide module disposed above the tray to move at least one slide of the slide module to protrude depending on the size of the article to be carried. Accordingly, a porter robot loads a load in an accommodation space without lifting the load by a user.",en,FALSE
Systems and methods for using artificial intelligence monitoring in legacy surveillance systems,"Systems and methods for upgrading legacy surveillance systems to employ artificial intelligence based monitoring are provided. Such systems and methods can include a network interface device of a network connected device that can receive a primary data stream from a legacy surveillance system, a first processor of the network connected device that can receive user input identifying a type of the legacy surveillance system and process the primary data stream based on the type of the legacy surveillance system, and an artificial intelligence processor of the network connected device that can monitor the primary data stream as processed by the first processor to determine whether a current state of the secured area corresponds to a trigger condition and, when the current state of the secured area corresponds to the trigger condition, initiate a standard workflow for the type of the legacy surveillance system.",en,FALSE
,"Systems and methods for upgrading legacy surveillance systems to employ artificial intelligence based monitoring are provided. Such systems and methods can include a network interface device of a network connected device that can receive a primary data stream from a legacy surveillance system, a first processor of the network connected device that can receive user input identifying a type of the legacy surveillance system and process the primary data stream based on the type of the legacy surveillance system, and an artificial intelligence processor of the network connected device that can monitor the primary data stream as processed by the first processor to determine whether a current state of the secured area corresponds to a trigger condition and, when the current state of the secured area corresponds to the trigger condition, initiate a standard workflow for the type of the legacy surveillance system.",en,FALSE
Interactive artificial intelligence,"Behavior of a device is modified based on the device&#39;s experience. The device includes: (i) a sensing unit for sensing signals; (ii) a concern-generating unit programmed to generate concern-parameters; (iii) an emotion-generating unit programmed to generate emotion-parameters; and (iv) an actuating unit for actuating the device. When the device is in a situation, the device extracts memory relevant to the situation to obtain concern-parameters previously generated in the situation. The behavior of the device is regulated by concern-parameters in the memory and emotion-parameters generated based on the concern-parameters, and accordingly, the device can modify or improve its behavior.",en,FALSE
,"Behavior of a device is modified based on the device&#39;s experience. The device includes: (i) a sensing unit for sensing signals; (ii) a concern-generating unit programmed to generate concern-parameters; (iii) an emotion-generating unit programmed to generate emotion-parameters; and (iv) an actuating unit for actuating the device. When the device is in a situation, the device extracts memory relevant to the situation to obtain concern-parameters previously generated in the situation. The behavior of the device is regulated by concern-parameters in the memory and emotion-parameters generated based on the concern-parameters, and accordingly, the device can modify or improve its behavior.",en,FALSE
Computer vision and artificial intelligence applications in basketball,Various applications of computer vision and artificial intelligence to basketball practice and game situations are described.,en,FALSE
,Various applications of computer vision and artificial intelligence to basketball practice and game situations are described.,en,FALSE
"System and method of creating artificial intelligence model, machine learning model or quantum model generation framework","Systems and methods for generating at least one of an automated machine learning (ML) model, artificial intelligence (AI) model or quantum ML model for a user via a model generation framework are provided. The method includes receiving a user input including at least one of a data, one or more tasks and a metadata, from the user, the metadata including least one of: a selection of domain, a selection of sub-domain, or one or more keyword tags. One or more building blocks are determined in the selection of domain or said selection of sub-domain by performing a meta-learning, a transfer learning or a neural architecture search. An optimal model is iteratively determined based on the building blocks and a performance estimation of the building blocks, the optimal model including at least one of AI model, ML model or quantum ML model. The optimal model is rendered to the user.",en,FALSE
,"Systems and methods for generating at least one of an automated machine learning (ML) model, artificial intelligence (AI) model or quantum ML model for a user via a model generation framework are provided. The method includes receiving a user input including at least one of a data, one or more tasks and a metadata, from the user, the metadata including least one of: a selection of domain, a selection of sub-domain, or one or more keyword tags. One or more building blocks are determined in the selection of domain or said selection of sub-domain by performing a meta-learning, a transfer learning or a neural architecture search. An optimal model is iteratively determined based on the building blocks and a performance estimation of the building blocks, the optimal model including at least one of AI model, ML model or quantum ML model. The optimal model is rendered to the user.",en,FALSE
Edge artificial intelligence device and method,"An edge AI method and device are provided. The device includes one or more first neural network layers and one or more second neural network layers, each including plural second cells, where one first neural network layer, of the one or more first neural network layers, is connected to one second neural network layer of the one or more second neural network layers, and, for an operation of the one or more first neural network layers and the one or more second neural network layers, the device is configured to perform the operation according to first weight information, of the one or more first neural network layers, received from and trained outside of the device, and the device is configured to perform the operation according to second weight information, of the one or more second neural network layers, based on training of the second weight information by the device.",en,FALSE
,"An edge AI method and device are provided. The device includes one or more first neural network layers and one or more second neural network layers, each including plural second cells, where one first neural network layer, of the one or more first neural network layers, is connected to one second neural network layer of the one or more second neural network layers, and, for an operation of the one or more first neural network layers and the one or more second neural network layers, the device is configured to perform the operation according to first weight information, of the one or more first neural network layers, received from and trained outside of the device, and the device is configured to perform the operation according to second weight information, of the one or more second neural network layers, based on training of the second weight information by the device.",en,FALSE
Computer architecture for artificial intelligence and reconfigurable hardware,A reconfigurable computer architecture includes a reconfigurable chip. The reconfigurable chip includes learning computing blocks that are interconnected virtually. The learning computing blocks each store a source address and a destination address and communicate with one another using message passing.,en,FALSE
,A reconfigurable computer architecture includes a reconfigurable chip. The reconfigurable chip includes learning computing blocks that are interconnected virtually. The learning computing blocks each store a source address and a destination address and communicate with one another using message passing.,en,FALSE
Application of trained artificial intelligence processes to encrypted data within a distributed computing environment,"The disclosed embodiments include computer-implemented processes that predict a credit score for a customer in real-time based on an application of a trained machine-learning or artificial-intelligence process to encrypted event data at a third-party computing cluster. For example, an apparatus may transmit encrypted event data to a third-party computing system. The third-party computing system may apply a trained artificial intelligence process to encrypted feature data that includes the encrypted event data, and the apparatus may receive, from the third-party computing system, encrypted output data representative of a predicted credit score during at least one temporal interval. The apparatus may decrypt the encrypted output data using a homomorphic decryption key, and transmit a notification that includes the decrypted output data to a device. An application program executed at the device may present a graphical representation of at least a portion of the decrypted output data within a digital interface.",en,FALSE
,"The disclosed embodiments include computer-implemented processes that predict a credit score for a customer in real-time based on an application of a trained machine-learning or artificial-intelligence process to encrypted event data at a third-party computing cluster. For example, an apparatus may transmit encrypted event data to a third-party computing system. The third-party computing system may apply a trained artificial intelligence process to encrypted feature data that includes the encrypted event data, and the apparatus may receive, from the third-party computing system, encrypted output data representative of a predicted credit score during at least one temporal interval. The apparatus may decrypt the encrypted output data using a homomorphic decryption key, and transmit a notification that includes the decrypted output data to a device. An application program executed at the device may present a graphical representation of at least a portion of the decrypted output data within a digital interface.",en,FALSE
Local artificial intelligence assistant system with ear-wearable device,"Embodiments herein relate to a local assistant system responding to voice input using an ear-wearable device. The system detects a wake-up signal and receives a first voice input communicating a first query content. The system includes speech recognition circuitry to determine the first query content, speech generation circuitry, and an input database of locally-handled user inputs. If the first audio input matches one of the locally-handled user inputs, then the system takes a local responsive action. If the first audio input does not match one of the locally-handled user inputs, then the system transmits at least a portion of the first query content over a wireless network to a network resource.",en,FALSE
,"Embodiments herein relate to a local assistant system responding to voice input using an ear-wearable device. The system detects a wake-up signal and receives a first voice input communicating a first query content. The system includes speech recognition circuitry to determine the first query content, speech generation circuitry, and an input database of locally-handled user inputs. If the first audio input matches one of the locally-handled user inputs, then the system takes a local responsive action. If the first audio input does not match one of the locally-handled user inputs, then the system transmits at least a portion of the first query content over a wireless network to a network resource.",en,FALSE
"Control system, method and device of intelligent robot based on artificial intelligence","The present disclosure provides a control system, a control method and a control device of an intelligent robot based on artificial intelligence. The system includes: a decision engine, disposed on the intelligent robot, and configured to generate cloud processing information according to a multimodal input signal, and to send the cloud processing information; and a cloud control center, configured to receive the cloud processing information, to obtain a user demand by analyzing the cloud processing information, and to return the user demand, such that the decision engine controls the intelligent robot according to at least one of the user demand and the multimodal input signal. The control system may make full use of great online information, enhance the capability of the intelligent robot for storage, calculation and processing complex decisions, and meanwhile may respond to the user&#39;s instruction timely, rapidly and intelligently, and improve the user experience.",en,FALSE
Mixed-mode multipliers for artificial intelligence,"Multipliers are fundamental building blocks in signal processing, including in emerging applications such as machine learning (ML) and artificial intelligence (AI) that predominantly utilize digital-mode multipliers. Generally, digital multipliers can operate at high speed with high precision, and synchronously. As the precision and speed of digital multipliers increase, generally the dynamic power consumption and chip size of digital implementations increases substantially that makes solutions unsuitable for some ML and AI segments, including in portable, mobile, or near edge and near sensor applications. The present invention discloses embodiments of multipliers that arrange data-converters to perform the multiplication function, operating in mixed-mode (both digital and analog), and capable of low power consumptions and asynchronous operations, which makes them suitable for low power ML and AI applications.",en,FALSE
,"Multipliers are fundamental building blocks in signal processing, including in emerging applications such as machine learning (ML) and artificial intelligence (AI) that predominantly utilize digital-mode multipliers. Generally, digital multipliers can operate at high speed with high precision, and synchronously. As the precision and speed of digital multipliers increase, generally the dynamic power consumption and chip size of digital implementations increases substantially that makes solutions unsuitable for some ML and AI segments, including in portable, mobile, or near edge and near sensor applications. The present invention discloses embodiments of multipliers that arrange data-converters to perform the multiplication function, operating in mixed-mode (both digital and analog), and capable of low power consumptions and asynchronous operations, which makes them suitable for low power ML and AI applications.",en,FALSE
Methods and systems for determining a plurality of nutritional needs to generate a nutrient supplementation plan using artificial intelligence,"A system for determining a plurality of nutritional needs of a user and generating a nutrient supplementation plan using artificial intelligence includes at least a computing device designed and configured to receive, from a user, at least a biological extraction, generate, using the at least a biological extraction and a first machine-learning process, a plurality of nutritional needs of the user, determine a nutritional input to the user, detect at least a nutrition deficiency as a function of the plurality of nutritional needs and the nutritional input, and calculate at least a supplement dose from the plurality of nutritional needs and at the least a nutrition deficiency.",en,FALSE
,"A system for determining a plurality of nutritional needs of a user and generating a nutrient supplementation plan using artificial intelligence includes at least a computing device designed and configured to receive, from a user, at least a biological extraction, generate, using the at least a biological extraction and a first machine-learning process, a plurality of nutritional needs of the user, determine a nutritional input to the user, detect at least a nutrition deficiency as a function of the plurality of nutritional needs and the nutritional input, and calculate at least a supplement dose from the plurality of nutritional needs and at the least a nutrition deficiency.",en,FALSE
Image-based search and recommendation techniques implemented via artificial intelligence,"Methods, apparatus, and processor-readable storage media for image-based search and recommendation techniques implemented via artificial intelligence are provided herein. An example computer-implemented method includes detecting, in response to a user search query comprising an image, an object in the image by applying one or more artificial intelligence algorithms to the image; determining one or more features of the object by applying the one or more artificial intelligence algorithms to one or more portions of the image containing at least a portion of the object; identifying the detected object as a particular enterprise offering based at least in part on the one or more determined features of the object; determining one or more additional enterprise offerings based at least in part on the identified enterprise offering; outputting, to the user, information pertaining to the identified enterprise offering and information pertaining to the one or more additional enterprise offerings.",en,FALSE
,"Methods, apparatus, and processor-readable storage media for image-based search and recommendation techniques implemented via artificial intelligence are provided herein. An example computer-implemented method includes detecting, in response to a user search query comprising an image, an object in the image by applying one or more artificial intelligence algorithms to the image; determining one or more features of the object by applying the one or more artificial intelligence algorithms to one or more portions of the image containing at least a portion of the object; identifying the detected object as a particular enterprise offering based at least in part on the one or more determined features of the object; determining one or more additional enterprise offerings based at least in part on the identified enterprise offering; outputting, to the user, information pertaining to the identified enterprise offering and information pertaining to the one or more additional enterprise offerings.",en,FALSE
"Method for generating chatting data based on artificial intelligence, computer device and computer-readable storage medium","Embodiments of the present disclosure relate to a method for generating chatting data based on AI, a computer device and a computer-readable storage medium. The method includes: converting chatting data inputted by a user into an input word sequence; converting a tag of the user into a tag word sequence; based on a preset encoding-decoding model with an attention model, predicting according to the input word sequence and the tag word sequence to obtain a target word sequence; and converting the target word sequence into reply data of the chatting data.",en,FALSE
,"Embodiments of the present disclosure relate to a method for generating chatting data based on AI, a computer device and a computer-readable storage medium. The method includes: converting chatting data inputted by a user into an input word sequence; converting a tag of the user into a tag word sequence; based on a preset encoding-decoding model with an attention model, predicting according to the input word sequence and the tag word sequence to obtain a target word sequence; and converting the target word sequence into reply data of the chatting data.",en,FALSE
Battery powered artificial intelligence autonomous patrol vehicle,"A battery powered artificial intelligence autonomous patrol vehicle. The vehicle is battery powered and is operated autonomously using artificial intelligence. The autonomous patrol vehicle includes a surveillance or detection system on or within an emergency light bar of the autonomous patrol vehicle. The autonomous patrol vehicle autonomously performs patrol surveillance or detection functions such as speed; red-light; and traffic enforcement; traffic enforcement with Automatic License Plate Recognition (ALPR), face recognition, animal recognition, object recognition, video surveillance and online continuous analysis and any equivalent surveillance or detection functions. The autonomous patrol vehicle stores and sends live and/or stored data to a command control center while moving or parked. The surveillance or detection system navigates with the use of any one of or a combination of a camera, radar and Light Detection and Ranging (LIDAR) sensors and can operate by viewing 360 degrees.",en,FALSE
